country,iso3,reporter_code,horizon,base_year,future_year,total_base_exports,total_future_exports,total_growth,total_gross_positive_growth,total_gross_contraction,existing_product_partner_cell_contraction_gross_positive_share,existing_product_partner_cell_growth_gross_positive_share,existing_product_partner_cell_no_change_gross_positive_share,net_new_partner_existing_product_gross_positive_share,net_new_product_gross_positive_share,new_product_partner_cell_existing_product_partner_gross_positive_share,existing_product_partner_cell_contraction_net_contribution,existing_product_partner_cell_growth_net_contribution,existing_product_partner_cell_no_change_net_contribution,net_new_partner_existing_product_net_contribution,net_new_product_net_contribution,new_product_partner_cell_existing_product_partner_net_contribution
Kyrgyzstan,KGZ,417,10,2015,2025,1309960445.0,2604988322.0,1295027877.0,1966342561.6664681,671314684.6664681,0.0,0.41153775075140636,0.0,0.002232105485798335,0.08086531894638319,0.5053648248164121,-671314684.6664681,809224195.0349768,0.0,4389084.018854475,159008918.4070071,993720364.2056297
Luxembourg,LUX,442,10,2015,2025,12259762988.999998,16337964204.453001,4078201215.453003,8566732188.651746,4488530973.198745,0.0,0.867141566602163,0.0,0.0001271315505161608,0.007812586071214687,0.124918715776106,-4488530973.198745,7428569570.728652,0.0,1089101.946,66928332.57288714,1070145183.4042059
Mauritania,MRT,478,10,2014,2024,2139810561.9999998,4149547480.4070005,2009736918.4070008,3618237212.517747,1608500294.1107469,0.0,0.29484354629451615,0.0,0.006478184521684607,0.4892033453568412,0.20947492382695804,-1608500294.1107469,1066813891.0735174,0.0,23439608.305915724,1770053748.6582937,757929964.48002
Mexico,MEX,484,10,2015,2025,349277800500.00006,591427761790.0,242149961289.99994,311038402402.10675,68888441112.10672,0.0,0.9199833329769732,0.0,0.04181309525306355,0.0062197362768585725,0.03198383549310471,-68888441112.10672,286150146125.72314,0.0,13005478347.0,1934576834.916518,9948201094.467089
Morocco,MAR,504,10,2014,2024,23812982993.0,80525530850.75201,56712547857.752014,64331757559.35595,7619209701.603947,0.0,0.7877982871708613,0.0,0.0014375435126440055,0.005721542122584116,0.20504262719391048,-7619209701.603947,50680448415.95173,0.0,92479700.73643911,368076860.6957242,13190752581.972054
Mozambique,MOZ,508,10,2014,2024,4725256363.0,8191933249.900001,3466676886.9000006,6661530134.213631,3194853247.3136306,0.0,0.3147507391054693,0.0,0.009013090544707416,0.05892173328657392,0.6173144370632494,-3194853247.3136306,2096721533.3170965,0.0,60040974.2659644,392508901.8486105,4112258724.7819595
Netherlands,NLD,528,10,2015,2025,394949409888.416,722572350104.6328,327622940216.2168,424874997669.8159,97252057453.59889,0.0,0.8269117493648337,0.0,1.5855474520614707e-07,0.027045891825956327,0.1460422002544647,-97252057453.59889,351334127584.5271,0.0,67365.947,11491123226.531288,62049679492.81048
New Zealand,NZL,554,10,2015,2025,17056878558.580002,46912296018.22001,29855417459.640007,36692414315.59739,6836996855.957388,0.0,0.2508115130726603,0.0,8.206794827125763e-06,0.6804523674362438,0.06872791269626874,-6836996855.957388,9202879952.783922,0.0,301127.116,24967440187.999767,2521793047.6976986
Niger,NER,562,10,2014,2024,1022624773.0,1007786657.4240003,-14838115.575999737,957951073.8694339,972789189.4454339,0.0,0.11982672639558892,0.0,0.0019920683070919513,0.021365528913200902,0.8568156763841182,-972789189.4454339,114788141.22891325,0.0,1908303.974,20467131.36618924,820787497.3003314
North Macedonia,MKD,807,10,2014,2024,4960799185.0,8413033233.210001,3452234048.210001,5457793397.208208,2005559348.9982083,0.0,0.710704039295571,0.0,0.000855340744676428,0.017516399185062193,0.27092422077469036,-2005559348.9982083,3878875813.0365705,0.0,4668273.06865816,95600887.81509568,1478648423.2878838
Norway,NOR,579,10,2015,2025,99617752854.892,169757780099.772,70140027244.88,89625104486.44862,19485077241.568623,0.0,0.8737101486294683,0.0,2.197820228502869e-06,0.0005369335485922692,0.12575072000171097,-19485077241.568623,78306363361.78665,0.0,196979.86762200002,48122725.39486177,11270421419.39949
Panama,PAN,591,10,2015,2025,12042760998.000002,1670499364.0,-10372261634.000002,1314116004.429498,11686377638.429499,0.0,0.38865615463220404,0.0,0.007102747434350084,0.41532407605676075,0.18891702187668513,-11686377638.429499,510739273.0222051,0.0,9333834.0789,545784015.3710834,248258881.9573095
Peru,PER,604,10,2014,2024,35577631985.229996,74053783276.54,38476151291.31,48819288336.387215,10343137045.07722,0.0,0.7870739258921632,0.0,0.00036219918420122855,0.0024895886856271567,0.21007428623800856,-10343137045.07722,38424388930.18178,0.0,17682306.408724003,121539947.88263942,10255677151.91408
Poland,POL,616,10,2014,2024,204030509989.00003,379704654454.0,175674144464.99997,237036341559.4089,61362197094.40893,0.0,0.8439725366026211,0.0,5.494642684035727e-06,0.0011273865749128027,0.15489458217978214,-61362197094.40893,200052162452.89963,0.0,1302430.0,267231589.24052325,36715645087.26877
Russia,RUS,643,10,2011,2021,460968857495.99994,417826891022.18304,-43141966473.816895,217399416829.34265,260541383303.15967,0.0,0.5331521708718957,0.0,0.17386511987468864,0.12817815594410034,0.1648045533093153,-260541383303.15967,115906971028.84818,0.0,37798175667.72106,27865856352.507957,35828413780.26546
Rwanda,RWA,646,10,2012,2022,387130823.81799996,2019269801.9399996,1632138978.1219997,1921628908.3165002,289489930.1945,0.0,0.24269661765038975,0.0,0.016316552627750416,0.518420126479023,0.22256670324283676,-289489930.1945,466372836.4276255,0.0,31354359.21355275,996211101.695187,427690610.98013484
Senegal,SEN,686,10,2014,2024,2748615445.9999995,6305879310.250999,3557263864.251,4625166434.02447,1067902569.7734703,0.0,0.6433826957814713,0.0,0.00017697436570324063,0.19680231231967402,0.1596380175331515,-1067902569.7734703,2975752048.760638,0.0,818535.8959334,910243449.0793568,738352400.2885422
Singapore,SGP,702,10,2014,2024,382822383610.0579,470216803889.96606,87394420279.90814,211028236187.90268,123633815907.99467,0.0,0.9464561897735589,0.0,5.788647633448908e-08,0.003715896112229619,0.04982785622773503,-123633815907.99467,199728980357.03705,0.0,12215.681,784159002.4213014,10515084612.763325
Slovakia,SVK,703,10,2015,2025,74939091833.23299,129537169317.173,54598077483.94002,79309141168.72845,24711063684.788456,0.0,0.8940674966325584,0.0,0.00019894301137913793,0.0013856953123414972,0.10434786504372101,-24711063684.788456,70907725304.80322,0.0,15777999.374000002,109898305.14333707,8275739559.407895
Slovenia,SVN,705,10,2015,2025,26498652239.0,80494567523.31898,53995915284.318985,61873413684.48456,7877498400.16556,0.0,0.9446604843210812,0.0,9.961232010616426e-06,0.000941604012123058,0.05438795043478507,-7877498400.16556,58449368937.7838,0.0,616335.429,58260254.56906038,3365168156.7026987
South Africa,ZAF,710,10,2015,2025,79708508696.934,113479288210.96603,33770779514.03203,65812507632.95111,32041728118.919117,0.0,0.8835011723875451,0.0,1.9522249694018954e-05,3.457997169093764e-05,0.11644472539106994,-32041728118.919117,58145427651.47657,0.0,1284808.207,2275794.6508570667,7663519378.616687
Spain,ESP,724,10,2015,2025,242670650167.38803,432101131252.323,189430481084.93497,272195858471.779,82765377386.84402,0.0,0.7650119165883377,0.0,1.439980142242457e-06,0.17669121920536515,0.05829542422615496,-82765377386.84402,208233075376.90356,0.0,391956.631,48094618096.02965,15867773042.214792
Sweden,SWE,752,10,2015,2025,129347973705.811,206020136012.18604,76672162306.37503,114420701324.72285,37748539018.34785,0.0,0.8571563649624542,0.0,7.776214091494558e-07,0.013015566057844827,0.1298272913582919,-37748539018.34785,98076432423.9541,0.0,88975.987,1489250196.4768634,14854929728.30489
Switzerland,CHE,757,10,2015,2025,283500233969.84906,548429849047.84814,264929615077.99908,342756119912.78125,77826504834.78226,0.0,0.9685723275230678,0.0,1.008895173302798e-06,0.008500450652766941,0.022926212928992096,-77826504834.78226,331984092836.69824,0.0,345804.995,2913581483.2524652,7858099787.83557
Turkey,TUR,792,10,2015,2025,148082915027.99997,263581474950.00003,115498559922.00006,169195029861.74683,53696469939.74684,0.0,0.8548483015952137,0.0,8.782918748938822e-05,0.0011501571834427716,0.14391371203385425,-53696469939.74684,144636083915.66574,0.0,14860262.0,194600878.99830234,24349484805.082806
Uganda,UGA,800,10,2014,2024,2224427644.0,8039344375.930001,5814916731.930001,6936845033.456344,1121928301.526344,0.0,0.7526356627252689,0.0,0.0028030780125863066,0.01077441100352033,0.23378684825862456,-1121928301.526344,5220916958.977905,0.0,19444517.79,74740419.45818737,1621743137.2302516
United Arab Emirates,ARE,784,10,2013,2023,231025691745.139,551400163099.8772,320374471354.73816,376504551160.5017,56130079805.76363,0.0,0.813714862005344,0.0,0.004436584844222575,0.016141909278106617,0.16570664387232656,-56130079805.76363,306367348891.95166,0.0,1670394385.4595048,6077502307.62707,62389305575.46342
United Kingdom,GBR,826,10,2015,2025,450589884369.00006,539421581994.9211,88831697625.92102,265454216824.44745,176622519198.52646,0.0,0.8582484291905627,0.0,0.03201378238896299,0.0008776420806524758,0.10886014633982187,-176622519198.52646,227825664611.59305,0.0,8498193531.650459,232973791.1717815,28897384890.032154
United States,USA,842,10,2015,2025,1295095571508.0002,1936867520410.9998,641771948902.9995,966973041893.807,325201092990.807,0.0,0.8616559507484076,0.0,0.0,0.04728898803166632,0.09105506121992611,-325201092990.807,833198075761.088,0.0,0.0,45727176605.06021,88047789527.65877
Zimbabwe,ZWE,716,10,2014,2024,3805838312.5700006,7422001438.787999,3616163126.2179985,6687038041.66565,3070874915.447651,0.0,0.383494020556913,0.0,0.00925857701021519,0.017854730995974174,0.5893926714368977,-3070874915.447651,2564439104.2153864,0.0,61912456.679,119395265.39378613,3941291215.377478
